Depth	Temperature
m	ºC
2.13	11.2823
2.18	11.2819
2.23	11.2822
2.28	11.2838
2.33	11.2841
2.38	11.2893
2.43	11.2854
2.48	11.2851
2.53	11.284
2.58	11.2835
2.63	11.2824
2.68	11.281
2.73	11.2815
2.78	11.2811
2.83	11.2814
2.88	11.281
2.93	11.2818
2.98	11.2825
3.03	11.2846
3.08	11.2955
3.13	11.2942
3.18	11.2919
3.23	11.292
3.28	11.2929
3.33	11.294
3.38	11.2953
3.43	11.2962
3.48	11.2989
3.53	11.3007
3.58	11.3023
3.63	11.3045
3.68	11.3065
3.73	11.308
3.78	11.3096
3.83	11.3123
3.88	11.3155
3.93	11.3186
3.98	11.3216
4.03	11.3255
4.08	11.3276
4.13	11.3303
4.18	11.3332
4.23	11.3357
4.28	11.3386
4.33	11.3404
4.38	11.3433
4.43	12.5841
4.48	13.3101
4.53	13.4877
4.58	13.6793
4.63	13.76
4.68	13.8026
4.73	13.8683
4.78	13.9083
4.83	13.9267
4.88	13.9629
4.93	13.9879
4.98	14.0048
5.03	14.0345
5.08	14.0539
5.13	14.0682
5.18	14.0878
5.23	14.1071
5.28	14.1174
5.33	14.1299
5.38	14.1424
5.43	14.1456
5.48	14.1497
5.53	14.1549
5.58	14.1596
5.63	14.1667
5.68	14.1771
5.73	14.1799
5.78	14.1833
5.83	14.1861
5.88	14.1905
5.93	14.191
5.98	14.1885
6.03	14.1877
6.08	14.1905
6.13	14.1916
6.18	14.1926
6.23	14.1987
6.28	14.2058
6.33	14.2119
6.38	14.2229
6.43	14.2318
6.48	14.2357
6.53	14.238
6.58	14.2417
6.63	14.245
6.68	14.246
6.73	14.2481
6.78	14.2507
6.83	14.2516
6.88	14.2541
6.93	14.2589
6.98	14.2609
7.03	14.2659
7.08	14.2725
7.13	14.2782
7.18	14.2775
7.23	14.2766
7.28	14.2765
7.33	14.2774
7.38	14.2782
7.43	14.2812
7.48	14.2862
7.53	14.2918
7.58	14.2922
7.63	14.2955
7.68	14.3028
7.73	14.3087
7.78	14.3138
7.83	14.3173
7.88	14.3187
7.93	14.3202
7.98	14.3212
8.03	14.3208
8.08	14.3237
8.13	14.3313
8.18	14.3432
8.23	14.3531
8.28	14.3608
8.33	14.3673
8.38	14.3694
8.43	14.3731
8.48	14.3752
8.53	14.376
8.58	14.377
8.63	14.3796
8.68	14.3799
8.73	14.3822
8.78	14.3848
8.83	14.3887
8.88	14.3917
8.93	14.3941
8.98	14.3978
9.03	14.3996
9.08	14.4001
9.13	14.4018
9.18	14.4062
9.23	14.4109
9.28	14.4159
9.33	14.4297
9.38	14.4414
9.43	14.4491
9.48	14.455
9.53	14.46
9.58	14.462
9.63	14.4635
9.68	14.4653
9.73	14.4656
9.78	14.4644
9.83	14.4633
9.88	14.462
9.93	14.4607
9.98	14.4608
10.03	14.4688
10.08	14.4717
10.13	14.4727
10.18	14.4739
10.23	14.4731
10.28	14.4721
10.33	14.4728
10.38	14.4739
10.43	14.4765
10.48	14.4801
10.53	14.4822
10.58	14.4832
10.63	14.4868
10.68	14.4964
10.73	14.5028
10.78	14.5076
10.83	14.5125
10.88	14.5178
10.93	14.5221
10.98	14.5245
11.03	14.5272
11.08	14.5293
11.13	14.5309
11.18	14.5324
11.23	14.535
11.28	14.5378
11.33	14.5403
11.38	14.5421
11.43	14.5431
11.48	14.5445
11.53	14.5446
11.58	14.544
11.63	14.5431
11.68	14.5427
11.73	14.5428
11.78	14.5431
11.83	14.5434
11.88	14.5472
11.93	14.5508
11.98	14.5555
12.03	14.5596
12.08	14.5635
12.13	14.5663
12.18	14.5661
12.23	14.5668
12.28	14.5668
12.33	14.5662
12.38	14.5647
12.43	14.5623
12.48	14.5596
12.53	14.5564
12.58	14.5542
12.63	14.5548
12.68	14.5597
12.73	14.5658
12.78	14.5685
12.83	14.5725
12.88	14.5774
12.93	14.579
12.98	14.579
13.03	14.5804
13.08	14.5826
13.13	14.5833
13.18	14.5846
13.23	14.5853
13.28	14.5899
13.33	14.5977
13.38	14.6037
13.43	14.6086
13.48	14.606
13.53	14.6077
13.58	14.614
13.63	14.6112
13.68	14.6102
13.73	14.6119
13.78	14.6202
13.83	14.6191
13.88	14.6201
13.93	14.6216
13.98	14.6215
14.03	14.6223
14.08	14.6276
14.13	14.6244
14.18	14.6274
14.23	14.6308
14.28	14.6327
14.33	14.6358
14.38	14.6387
14.43	14.6411
14.48	14.6434
14.53	14.6464
14.58	14.648
14.63	14.6514
14.68	14.6535
14.73	14.6591
14.78	14.665
14.83	14.6685
14.88	14.6716
14.93	14.674
14.98	14.6763
15.03	14.6779
15.08	14.6792
15.13	14.6811
15.18	14.6815
15.23	14.6818
15.28	14.6813
15.33	14.681
15.38	14.6811
15.43	14.6827
15.48	14.6835
15.53	14.6843
15.58	14.6849
15.63	14.6853
15.68	14.6872
15.73	14.688
15.78	14.689
15.83	14.6934
15.88	14.6991
15.93	14.7058
15.98	14.7089
16.03	14.7145
16.08	14.7207
16.13	14.7247
16.18	14.7277
16.23	14.7306
16.28	14.7335
16.33	14.7368
16.38	14.742
16.43	14.7434
16.48	14.7418
16.53	14.7418
16.58	14.7413
16.63	14.7402
16.68	14.7419
16.73	14.7466
16.78	14.754
16.83	14.7587
16.88	14.7601
16.93	14.7625
16.98	14.765
17.03	14.7667
17.08	14.7685
17.13	14.769
17.18	14.7692
17.23	14.7673
17.28	14.7662
17.33	14.7648
17.38	14.7647
17.43	14.7656
17.48	14.7672
17.53	14.7695
17.58	14.7692
17.63	14.7734
17.68	14.7757
17.73	14.7802
17.78	14.7855
17.83	14.7894
17.88	14.7913
17.93	14.7935
17.98	14.7947
18.03	14.7964
18.08	14.796
18.13	14.7957
18.18	14.7973
18.23	14.7994
18.28	14.8007
18.33	14.8007
18.38	14.8
18.43	14.8001
18.48	14.8011
18.53	14.8007
18.58	14.8025
18.63	14.8044
18.68	14.8075
18.73	14.8112
18.78	14.8166
18.83	14.82
18.88	14.8225
18.93	14.8235
18.98	14.8277
19.03	14.8332
19.08	14.8389
19.13	14.839
19.18	14.8401
19.23	14.8438
19.28	14.8488
19.33	14.8541
19.38	14.8538
19.43	14.8545
19.48	14.8558
19.53	14.8589
19.58	14.8625
19.63	14.8664
19.68	14.8711
19.73	14.8755
19.78	14.8796
19.83	14.8811
19.88	14.8819
19.93	14.8812
19.98	14.882
20.03	14.882
20.08	14.8828
20.13	14.8858
20.18	14.8884
20.23	14.8878
20.28	14.8866
20.33	14.8889
20.38	14.8904
20.43	14.8901
20.48	14.8882
20.53	14.887
20.58	14.8863
20.63	14.8855
20.68	14.8847
20.73	14.8854
20.78	14.8849
20.83	14.8852
20.88	14.8858
20.93	14.8848
20.98	14.8851
21.03	14.8857
21.08	14.886
21.13	14.8866
21.18	14.8871
21.23	14.8879
21.28	14.8883
21.33	14.8882
21.38	14.8883
21.43	14.8906
21.48	14.8933
21.53	14.8942
21.58	14.8944
21.63	14.8957
21.68	14.897
21.73	14.8986
21.78	14.9008
21.83	14.9042
21.88	14.905
21.93	14.9042
21.98	14.903
22.03	14.9038
22.08	14.9051
22.13	14.9059
22.18	14.9061
22.23	14.9062
22.28	14.9091
22.33	14.9166
22.38	14.9233
22.43	14.9288
22.48	14.9337
22.53	14.9394
22.58	14.9461
22.63	14.9528
22.68	14.9578
22.73	14.961
22.78	14.9635
22.83	14.9655
22.88	14.967
22.93	14.9681
22.98	14.9696
23.03	14.9696
23.08	14.9697
23.13	14.9698
23.18	14.9707
23.23	14.971
23.28	14.9727
23.33	14.9746
23.38	14.9756
23.43	14.9754
23.48	14.9752
23.53	14.975
23.58	14.9748
23.63	14.9746
23.68	14.9743
23.73	14.9741
23.78	14.974
23.83	14.9733
23.88	14.9756
23.93	14.9789
23.98	14.9833
24.03	14.9877
24.08	14.9893
24.13	14.9907
24.18	14.9932
24.23	14.9966
24.28	15.0008
24.33	15.0057
24.38	15.0078
24.43	15.0114
24.48	15.0131
24.53	15.0141
24.58	15.0151
24.63	15.0168
24.68	15.0175
24.73	15.0188
24.78	15.0188
24.83	15.0196
24.88	15.0192
24.93	15.0189
24.98	15.0198
25.03	15.02
25.08	15.0198
25.13	15.0194
25.18	15.0201
25.23	15.0222
25.28	15.0244
25.33	15.026
25.38	15.0298
25.43	15.0329
25.48	15.0342
25.53	15.0371
25.58	15.0406
25.63	15.0473
25.68	15.0548
25.73	15.0603
25.78	15.0652
25.83	15.0693
25.88	15.0726
25.93	15.0739
25.98	15.0734
26.03	15.0763
26.08	15.0779
26.13	15.0801
26.18	15.0827
26.23	15.0856
26.28	15.0864
26.33	15.0872
26.38	15.0873
26.43	15.0871
26.48	15.0861
26.53	15.0858
26.58	15.0857
26.63	15.0861
26.68	15.0859
26.73	15.0871
26.78	15.0869
26.83	15.0864
26.88	15.0866
26.93	15.087
26.98	15.0922
