Depth	Temperature
m	'C
1.45	27.9451
1.50	27.9419
1.55	27.9359
1.60	27.929
1.65	27.9187
1.70	27.911
1.75	27.9047
1.80	27.8917
1.85	27.8809
1.90	27.8717
1.95	27.8603
2.00	27.8528
2.05	27.84
2.10	27.8286
2.15	27.8139
2.20	27.8015
2.25	27.7872
2.30	27.7713
2.35	27.7528
2.40	27.739
2.45	27.7248
2.50	27.7046
2.55	27.683
2.60	27.6643
2.65	27.6459
2.70	27.6277
2.75	27.6001
2.80	27.5813
2.85	27.5536
2.90	27.5167
2.95	27.4841
3.00	27.4535
3.05	27.4189
3.10	27.3818
3.15	27.3497
3.20	27.3186
3.25	27.2814
3.30	27.2526
3.35	27.2148
3.40	27.1853
3.45	27.1534
3.50	27.1175
3.55	27.0862
3.60	27.0514
3.65	27.016
3.70	26.9883
3.75	26.9515
3.80	26.9183
3.85	26.8889
3.90	26.8541
3.95	26.8221
4.00	26.7922
4.05	26.7618
4.10	26.7317
4.15	26.6977
4.20	26.6662
4.25	26.6382
4.30	26.6112
4.35	26.582
4.40	26.5425
4.45	26.5069
4.50	26.4786
4.55	26.4458
4.60	26.4133
4.65	26.3843
4.70	26.3516
4.75	26.319
4.80	26.2914
4.85	26.2604
4.90	26.2339
4.95	26.2045
5.00	26.1771
5.05	26.1428
5.10	26.1143
5.15	26.0877
5.20	26.0579
5.25	26.0272
5.30	26.0018
5.35	25.9713
5.40	25.9428
5.45	25.9192
5.50	25.8889
5.55	25.8664
5.60	25.8388
5.65	25.8117
5.70	25.7918
5.75	25.763
5.80	25.7408
5.85	25.7164
5.90	25.6924
5.95	25.6698
6.00	25.6428
6.05	25.619
6.10	25.5983
6.15	25.5723
6.20	25.5528
6.25	25.5336
6.30	25.508
6.35	25.4891
6.40	25.4616
6.45	25.4408
6.50	25.42
6.55	25.3963
6.60	25.3765
6.65	25.3545
6.70	25.3353
6.75	25.3157
6.80	25.2964
6.85	25.2785
6.90	25.2555
6.95	25.2367
7.00	25.2205
7.05	25.1986
7.10	25.1796
7.15	25.1618
7.20	25.1437
7.25	25.1261
7.30	25.1075
7.35	25.088
7.40	25.074
7.45	25.054
7.50	25.0366
7.55	25.0217
7.60	25.0043
7.65	24.9892
7.70	24.9723
7.75	24.9545
7.80	24.9401
7.85	24.9223
7.90	24.9066
7.95	24.8908
8.00	24.8752
8.05	24.8593
8.10	24.8467
8.15	24.8314
8.20	24.8166
8.25	24.8025
8.30	24.7904
8.35	24.776
8.40	24.7624
8.45	24.7497
8.50	24.7338
8.55	24.7197
8.60	24.7073
8.65	24.6923
8.70	24.6791
8.75	24.6625
8.80	24.6519
