Depth	NGAM 
m	API
5.02	34.6667
5.07	33.7838
5.12	34.6667
5.17	26.6667
5.22	40
5.27	44
5.32	20.2703
5.37	39.1892
5.42	27.027
5.47	22.973
5.52	32
5.57	34.2105
5.62	18.6667
5.67	-999
5.72	25.3333
5.77	37.3333
5.82	28
5.87	44
5.92	25.3333
5.97	35.1351
6.02	21.3333
6.07	29.3333
6.12	26.6667
6.17	29.3333
6.22	39.1892
6.27	39.726
6.32	37.3333
6.37	22.6667
6.42	40
6.47	31.5789
6.52	32
6.57	40
6.62	29.3333
6.67	30.6667
6.72	28
6.77	36
6.82	26.3158
6.87	39.7436
6.92	31.1688
6.97	29.8701
7.02	30.3797
7.07	36.1446
7.12	32.6316
7.17	36.4486
7.22	76.1364
7.27	56.8966
7.32	30.5085
7.37	27.5862
7.42	20.6897
7.47	24.1379
7.52	25.8621
7.57	31.0345
7.62	20.6897
7.67	34.4828
7.72	15.5172
7.77	34.4828
7.82	24.1379
7.87	24.1379
7.92	19.2982
7.97	22.807
8.02	20.6897
8.07	25.8621
8.12	32.7586
8.17	22.4138
8.22	22.4138
8.27	37.931
8.32	36.2069
8.37	36.2069
8.42	24.1379
8.47	29.3103
8.52	17.2414
8.57	27.5862
8.62	43.1035
8.67	18.6441
8.72	40.3509
8.77	29.3103
8.82	43.8596
8.87	26.3158
8.92	34.4828
8.97	22.4138
9.02	40.678
9.07	18.9655
9.12	22.4138
9.17	24.1379
9.22	20.6897
9.27	27.5862
9.32	20.6897
9.37	36.2069
9.42	29.3103
9.47	44.8276
9.52	36.2069
9.57	37.931
9.62	32.7586
9.67	24.5614
9.72	24.5614
9.77	27.5862
9.82	20.6897
9.87	31.0345
9.92	37.2881
9.97	22.4138
10.02	32.7586
10.07	18.9655
10.12	25.8621
10.17	37.931
10.22	24.1379
10.27	31.0345
10.32	32.7586
10.37	27.5862
10.42	27.1186
10.47	31.5789
10.52	19.2982
10.57	43.1035
10.62	36.2069
10.67	34.4828
10.72	36.2069
10.77	48.2759
10.82	36.2069
10.87	24.1379
10.92	36.2069
10.97	31.0345
11.02	24.1379
11.07	36.2069
11.12	32.7586
11.17	32.7586
11.22	22.0339
11.27	32.7586
11.32	32.7586
11.37	36.8421
11.42	42.1053
11.47	32.7586
11.52	37.2881
11.57	29.3103
11.62	15.5172
11.67	35.5932
11.72	39.6552
11.77	36.2069
11.82	39.6552
11.87	37.931
11.92	37.931
11.97	32.7586
12.02	29.3103
12.07	34.4828
12.12	34.4828
12.17	42.3729
12.22	29.8246
12.27	31.5789
12.32	37.931
12.37	25.8621
12.42	35.5932
12.47	32.7586
12.52	31.0345
12.57	42.3729
12.62	55.1724
12.67	31.0345
12.72	55.1724
12.77	44.8276
12.82	56.8966
12.87	29.3103
12.92	50
12.97	32.2034
13.02	60.3448
13.07	32.7586
13.12	40.3509
13.17	33.3333
13.22	45.7627
13.27	34.4828
13.32	39.6552
13.37	32.7586
13.42	55.9322
13.47	43.1035
13.52	48.2759
13.57	51.7241
13.62	53.4483
13.67	41.3793
13.72	34.4828
13.77	40.678
13.82	36.2069
13.87	39.6552
13.92	63.7931
13.97	65.5172
14.02	65.5172
14.07	84.4828
14.12	50
14.17	72.4138
14.22	-999
14.27	77.9661
14.32	77.5862
14.37	91.3793
14.42	82.7586
14.47	72.8814
14.52	93.2203
14.57	79.661
14.62	63.3333
14.67	60
14.72	79.3103
14.77	89.8305
14.82	70.6897
14.87	67.7966
14.92	90
14.97	84.7458
15.02	84.7458
15.07	63.3333
15.12	59.322
15.17	93.3333
15.22	79.661
15.27	84.7458
15.32	66.1017
15.37	73.3333
15.42	81.3559
15.47	95
15.52	77.9661
15.57	85
15.62	66.1017
15.67	96.6667
15.72	63.3333
15.77	44.2623
15.82	50
15.87	50.8197
15.92	50
15.97	70.4918
16.02	85
16.07	77.0492
16.12	78.3333
16.17	60
16.22	85.2459
16.27	63.9344
16.32	83.6066
16.37	81.6667
16.42	62.7119
16.47	75.8621
16.52	69.4915
16.57	86.6667
16.62	89.8305
16.67	91.6667
16.72	76.2712
16.77	98.3051
16.82	100
16.87	81.3559
16.92	71.1864
16.97	83.0508
17.02	88.1356
17.07	80
17.12	79.661
17.17	95
17.22	69.4915
17.27	113.559
17.32	81.0345
17.37	67.7966
17.42	76.6667
17.47	72.8814
17.52	88.3333
17.57	91.5254
17.62	93.3333
17.67	71.1864
17.72	73.3333
17.77	86.4407
17.82	98.3051
17.87	74.5763
17.92	96.6102
17.97	76.6667
18.02	101.667
18.07	74.5763
18.12	91.5254
18.17	87.931
18.22	81.3559
18.27	76.6667
18.32	74.5763
18.37	95
18.42	105.085
18.47	71.1864
18.52	93.2203
18.57	96.6667
18.62	88.1356
18.67	89.8305
18.72	96.6667
