Depth	Azimuth	Dip
m	deg	deg
24.32	21.32	63.24
24.42	25.51	65.19
25.18	24.86	57.89
25.3	23.96	58.38
25.41	31.53	58.38
27.05	27.03	58.6
27.58	22.04	67.14
30.74	40.73	60.81
30.83	36.25	67.62
30.97	39.81	63.73
31.41	15.52	64.7
32.35	20.56	57.89
33.86	150.07	54
33.97	163.44	51.57
34.07	149.35	53.51
34.14	151.93	53.51
34.3	159.15	51.57
34.41	164.93	50.11
34.6	162.9	44.27
37.35	28.5	60.81
37.43	35.68	60.32
39.16	34.59	58.38
39.61	42.27	55.46
39.68	33.69	60.81
40.15	31.16	53.51
40.61	22.83	51.57
40.68	31.26	54.97
40.86	21.45	53.51
40.98	15.95	55.46
42.51	156.16	55.46
42.62	140.53	53.51
42.75	130.6	50.11
42.88	130.73	49.62
44.07	49.86	39.81
44.6	157.56	56.43
44.72	150.95	53.51
44.8	154.59	51.57
44.91	147.26	50.11
45.08	141.58	48.16
45.18	140.19	46.7
45.35	149.24	45.73
45.47	145.71	40.24
45.53	145.49	30.87
45.91	153.43	54.97
46.01	145.94	50.11
47.76	34.7	59.35
47.98	21.5	58.38
48.08	55.01	59.35
48.19	42.95	58.38
48.34	43.21	56.92
48.48	28.39	60.32
51.59	20.7	64.7
53.69	34.05	65.19
53.78	22.52	67.14
55.35	21.57	61.78
55.47	36.61	60.81
55.56	30.26	61.78
