Depth	Azimuth	Dip
m	deg	deg
59.16	119.79	54.32
60.14	272.71	19.04
60.54	134.11	11.13
60.81	6.23	12.11
60.91	60.14	27.25
61.68	253.55	28.9
61.9	236.57	17.44
61.93	258.23	11.33
62.26	259.68	31.28
62.43	252.95	13.13
62.58	279.68	56.43
62.81	261.54	17.11
62.95	50.87	39.82
63.12	86.4	34.15
63.16	72.15	34.46
63.43	75.96	36.86
63.7	325.93	22.6
63.9	117.37	22.3
63.96	102.04	36.41
64.09	133.84	38.44
64.19	144.43	24.97
64.32	135.76	29.02
64.46	86.03	25.78
64.7	198.51	10.75
65.1	349.65	16.6
65.13	0.17	31.82
65.26	240.87	3.97
65.48	267.6	6.33
66.01	351.87	11.08
66.22	301.93	18.58
66.3	253.5	21.34
66.42	233.68	33.72
66.51	70.57	38.28
66.6	298.82	21.92
66.67	325.82	22.29
67.14	326.27	8.83
67.35	74.23	70.96
67.95	304.97	23.5
68.04	328.42	17.03
68.13	324.37	11.24
68.35	228.08	19.53
68.45	217.18	24.31
68.55	181.51	14.85
68.8	261.68	6.2
68.94	227.96	15.09
69.33	112.85	44.43
69.38	270.06	19.07
69.47	200.43	13.64
69.55	174.23	14.28
69.87	116.47	79.23
70.24	196.34	34.67
70.56	297.43	6.1
70.76	175.4	47.17
71.06	176.31	11.27
71.31	45.16	40.58
71.6	150	50.97
71.81	125.48	77.39
72.36	282.18	17.62
72.75	126.23	22.11
72.86	328.46	16.21
73.35	152.79	29
73.76	192.7	5.44
74.21	133.72	11.22
74.23	181.08	8.54
74.77	103.8	33.18
74.92	352.67	17.26
75.15	114.15	35.95
75.23	118.8	41.23
75.37	55.81	31.95
75.57	18.05	35.71
75.68	203.94	9.37
76.01	50.27	63.94
76.52	135.33	11.76
76.93	171.65	14.72
77.46	342.91	21.93
78.15	305.17	8.71
78.19	167.67	11.62
78.24	168.42	11.64
78.29	175.99	12.3
78.67	169.39	3.94
78.79	30.96	64.43
78.89	124.65	9.52
78.96	118.05	10.17
79.06	163.76	8.74
79.1	329.97	8.43
79.16	278.86	14.96
79.45	304.46	25.34
79.67	58.56	18.58
80.02	191.39	24.61
80.21	128.74	21.85
80.85	142.01	14.64
81.67	200.94	24.12
82.03	189.58	26.28
82.12	84.5	18.5
82.13	306.08	16.4
82.28	115.1	19.91
82.31	122.19	37.82
82.35	67.22	31.66
82.43	121.52	27.16
82.57	88.69	27.33
82.91	204.37	27.18
82.99	183.89	16.2
83.29	190.54	12.68
83.38	234.05	14.4
83.47	187.71	17.3
83.52	223.01	21.98
83.6	223.3	20.06
83.74	185.09	35.05
84.1	89.7	54.62
84.41	145.63	14.73
84.66	216.87	25.76
84.85	240.41	36.42
84.89	242.52	46.4
85.07	98.17	20.16
85.12	226.08	18.13
85.23	128.22	31.3
85.38	246.67	35.76
85.55	247.7	20.4
85.63	58.02	61.13
85.78	271.52	22.52
85.89	0.19	26.63
85.96	324.57	39.81
86.62	288.11	22.33
86.81	142.11	61.36
86.98	13.69	14.88
87.06	80.85	13.43
87.42	34.19	28.34
87.49	299.95	11.67
87.51	8.63	26.25
87.88	286.01	30.71
88.07	83.77	39.82
88.18	292.34	39.32
88.36	273.34	3.36
88.64	241.67	27.72
89.32	222.45	20.17
89.98	321.44	67.45
90.1	177.06	23.78
90.31	323.02	14.86
90.67	91.87	64.32
91.09	100.24	47.48
91.4	313.9	23.4
91.48	112.89	47.85
91.74	99.79	54.25
91.82	105.24	33.48
92.08	88.07	46.41
92.26	102.05	25.19
96.13	61.35	35.37
96.44	90.68	31.47
96.64	102.41	45.04
96.85	103.68	61.74
97	285.94	37.29
97.14	196.85	64.59
99.1	46.48	60.54
99.75	294.15	15.97
100.38	191.88	11.39
101.36	32.78	19.56
103.15	293.06	33.99
103.18	305.32	32.64
103.41	316.91	42.28
106.17	95.16	45.36
106.41	316.82	10.08
109.48	50.71	54.04
109.66	121.51	60.52
109.96	346.31	12.13
110.04	304.32	8.71
110.13	358.25	13.53
110.26	238.54	42.08
110.52	96.85	41.63
113.04	223.38	25.22
113.24	187.79	14.26
113.34	220.68	20.24
113.38	192.66	15.39
113.4	187.01	23.17
113.44	168.62	20.83
113.75	301.7	51.27
114.05	118.77	46.47
114.11	302.86	29.8
114.51	292.59	45.59
114.67	125.82	51.74
114.79	206.38	21.98
114.81	200.47	27.88
115.04	244.43	54.84
115.14	234.07	25.65
115.4	235.58	60.7
115.47	138.1	49.2
115.75	189.12	20.75
115.78	173.43	22.8
115.88	132.21	28.11
116.3	107.79	57.51
116.5	263.9	44.69
116.69	210.69	18.33
116.76	243.58	20.85
117.58	228.71	37.3
117.94	92.36	70.2
118.34	334.65	21.17
118.8	245.37	44.4
118.95	248.99	61.41
119.05	240.49	62.24
119.28	144.21	17.1
119.38	139.36	26.28
119.42	138.57	30.63
119.59	132.99	24.46
120.24	113.28	36.23
120.53	81.83	60.71
120.58	241.89	45.17
120.65	255.63	50.62
121.36	219.27	46.47
121.42	158.43	18.58
121.5	127.54	25.57
121.72	124.91	21.64
121.79	229.08	37.65
122	128.83	21.33
122.08	123.44	18.43
122.9	340.41	72.28
123.1	135.82	31.17
123.17	122.69	30.65
123.2	115.35	13.6
123.26	138.46	28.41
123.36	120.03	23.43
123.4	153.09	25.65
123.4	340.65	72.89
123.89	89	13.15
123.99	327.34	16.47
124.43	333.16	29.28
124.44	237.73	44.43
124.7	124.32	21.15
124.71	233.21	40.48
124.9	244.3	10
125	316.15	45.43
125.23	248.47	43.36
125.32	88.15	23.34
125.53	279.44	21.5
125.61	315.51	18.13
125.71	324.65	28.58
126.03	253.51	32
126.3	305.68	15.33
126.35	247.75	38.24
126.42	40.29	12.43
127.1	330.78	24.18
