Depth	NGAM
m	API
5.00	97.5
5.05	93.0612
5.10	105.6
5.15	129.796
5.20	72
5.25	85.7143
5.30	88.8
5.35	103.2
5.40	110.4
5.45	102.857
5.50	107.755
5.55	93.0612
5.60	134.4
5.65	136.8
5.70	112.653
5.75	124.898
5.80	117.6
5.85	142.5
5.90	146.939
5.95	120
6.00	110.204
6.05	79.2
6.10	85.7143
6.15	139.2
6.20	103.2
6.25	107.755
6.30	112.5
6.35	97.9592
6.40	149.388
6.45	135
6.50	120
6.55	129.796
6.60	112.5
6.65	112.653
6.70	115.102
6.75	102.857
6.80	142.041
6.85	90.6123
6.90	97.9592
6.95	112.653
7.00	115.102
7.05	110
7.10	129.796
7.15	87.5
7.20	105.6
7.25	120
7.30	132
7.35	105.306
7.40	100.8
7.45	100.408
7.50	108
7.55	120
7.60	120
7.65	124.706
7.70	83.2653
7.75	124.898
7.80	-999
7.85	103.2
7.90	97.9592
7.95	102.857
8.00	144
8.05	129.6
8.10	120
8.15	117.6
8.20	129.6
8.25	96.4706
8.30	140.769
8.35	97.9592
8.40	129.6
8.45	88.1633
8.50	146.939
8.55	103.2
8.60	115
8.65	135
8.70	93.0612
8.75	110.204
8.80	95
8.85	112.653
8.90	97.5
8.95	100.408
9.00	95
9.05	100.408
9.10	117.6
9.15	142.041
9.20	134.694
9.25	122.449
9.30	74.4
9.35	115
9.40	102.5
9.45	110
9.50	97.9592
9.55	95.5102
9.60	102.857
9.65	107.5
9.70	105.306
9.75	83.2653
9.80	102.5
9.85	112.653
9.90	95
9.95	100.408
10.00	110
10.05	87.5
10.10	85
10.15	115.102
10.20	105
10.25	115.102
10.30	112.5
10.35	112.653
10.40	112.8
10.45	98.4
10.50	122.449
10.55	115.2
10.60	66.1225
10.65	120
10.70	148.8
10.75	117.5
10.80	124.898
10.85	132.245
10.90	88.1633
10.95	88.1633
11.00	134.694
11.05	124.8
11.10	102.857
11.15	110
11.20	81.6
11.25	120
11.30	120
11.35	124.898
11.40	129.6
11.45	98.4
11.50	117.551
11.55	88.8
11.60	122.4
11.65	117.551
11.70	117.6
11.75	127.2
11.80	151.837
11.85	127.347
11.90	105.306
11.95	120
12.00	132.245
12.05	124.706
12.10	108.235
12.15	124.8
12.20	105.882
12.25	110.588
12.30	120
12.35	110.588
12.40	134.4
12.45	122.4
12.50	98.4
12.55	91.7647
12.60	100.8
12.65	122.4
12.70	110.588
12.75	98.4
12.80	86.4
12.85	129.6
12.90	112.941
12.95	91.2
13.00	94.1177
13.05	122.4
13.10	110.588
13.15	79.2
13.20	127.059
13.25	88.8
13.30	93.6
13.35	93.0612
13.40	79.2
13.45	107.755
13.50	107.755
13.55	75
13.60	112.653
13.65	97.9592
13.70	100
13.75	112.8
13.80	97.9592
13.85	96
13.90	88.1633
13.95	100.408
14.00	96
14.05	132
14.10	88.1633
14.15	110.4
14.20	64.8
14.25	100.8
14.30	117.551
14.35	79.2
14.40	97.9592
14.45	86.4
14.50	103.2
14.55	97.9592
14.60	96.4706
14.65	112.941
14.70	122.353
14.75	93.6
14.80	96.4706
14.85	82.3529
14.90	84
14.95	105.306
15.00	96
15.05	84
15.10	84
15.15	91.2
15.20	91.2
15.25	112.8
15.30	87.0588
15.35	103.2
15.40	105.882
15.45	101.538
15.50	75.2941
15.55	78.4615
