Depth	Temperature
m	'C
0.86	16.8261
0.87	16.8261
0.88	16.8261
0.89	16.8222
0.90	16.8222
0.91	16.834
0.92	16.8261
0.93	16.8261
0.94	16.8261
0.95	16.8261
0.96	16.8301
0.97	16.8379
0.98	16.834
0.99	16.8379
1.00	16.8419
1.01	16.834
1.02	16.8379
1.03	16.8458
1.04	16.8458
1.05	16.8498
1.06	16.8498
1.07	16.8537
1.08	16.8537
1.09	16.8537
1.10	16.8576
1.11	16.8537
1.12	16.8616
1.13	16.8616
1.14	16.8616
1.15	16.8576
1.16	16.8576
1.17	16.8616
1.18	16.8655
1.19	16.8537
1.20	16.8616
1.21	16.8616
1.22	16.8537
1.23	16.8616
1.24	16.8616
1.25	16.8616
1.26	16.8694
1.27	16.8655
1.28	16.8616
1.29	16.8655
1.30	16.8616
1.31	16.8655
1.32	16.8616
1.33	16.8616
1.34	16.8616
1.35	16.8655
1.36	16.8694
1.37	16.8655
1.38	16.8655
1.39	16.8734
1.40	16.8655
1.41	16.8616
1.42	16.8655
1.43	16.8694
1.44	16.8773
1.45	16.8773
1.46	16.8852
1.47	16.8852
1.48	16.8813
1.49	16.8734
1.50	16.8852
1.51	16.8891
1.52	16.8852
1.53	16.8891
1.54	16.8891
1.55	16.9009
1.56	16.9049
1.57	16.9009
1.58	16.9009
1.59	16.9049
1.60	16.9049
1.61	16.9127
1.62	16.9127
1.63	16.9167
1.64	16.9127
1.65	16.9167
1.66	16.9127
1.67	16.9127
1.68	16.9167
1.69	16.9167
1.70	16.9206
1.71	16.9167
1.72	16.9246
1.73	16.9246
1.74	16.9285
1.75	16.9285
1.76	16.9285
1.77	16.9364
1.78	16.9442
1.79	16.9442
1.80	16.9442
1.81	16.9482
1.82	16.9482
1.83	16.9561
1.84	16.9561
1.85	16.96
1.86	16.9639
1.87	16.9639
1.88	16.9718
1.89	16.9679
1.90	16.9679
1.91	16.9679
1.92	16.9718
1.93	16.9718
1.94	16.9836
1.95	16.9915
1.96	16.9876
1.97	16.9915
1.98	16.9954
1.99	16.9994
2.00	16.9994
2.01	17.0072
2.02	17.0112
2.03	17.0072
2.04	17.0191
2.05	17.023
2.06	17.023
2.07	17.023
2.08	17.0269
2.09	17.0309
2.10	17.0309
2.11	17.0348
2.12	17.0387
2.13	17.0427
2.14	17.0466
2.15	17.0505
2.16	17.0505
2.17	17.0505
2.18	17.0545
2.19	17.0624
2.20	17.0584
2.21	17.0584
2.22	17.0624
2.23	17.0545
2.24	17.0584
2.25	17.0584
2.26	17.0663
2.27	17.0663
2.28	17.0663
2.29	17.0663
2.30	17.0702
2.31	17.0781
2.32	17.0702
2.33	17.0702
2.34	17.0702
2.35	17.0702
2.36	17.0742
2.37	17.0702
2.38	17.0702
2.39	17.0742
2.40	17.0742
2.41	17.0742
2.42	17.0781
2.43	17.0781
2.44	17.0781
2.45	17.0742
2.46	17.082
2.47	17.0781
2.48	17.082
2.49	17.086
2.50	17.0899
2.51	17.0939
2.52	17.0978
2.53	17.0939
2.54	17.1057
2.55	17.1096
2.56	17.1057
2.57	17.1096
2.58	17.1096
2.59	17.1214
2.60	17.1254
2.61	17.1254
2.62	17.1214
2.63	17.1372
2.64	17.1293
2.65	17.1332
2.66	17.145
2.67	17.149
2.68	17.1529
2.69	17.1529
2.70	17.149
2.71	17.145
2.72	17.1529
2.73	17.1569
2.74	17.1608
2.75	17.1608
2.76	17.1647
2.77	17.1647
2.78	17.1687
2.79	17.1647
2.80	17.1647
2.81	17.1647
2.82	17.1647
2.83	17.1726
2.84	17.1765
2.85	17.1726
2.86	17.1726
2.87	17.1726
2.88	17.1765
2.89	17.1726
2.90	17.1726
2.91	17.1765
2.92	17.1805
2.93	17.1805
